					
					
					
					
					
					
					
					
					
					
					
	Day	From	To	Time	Number of bus
	Saturday	Sahyadri	Nila	12:00	1
	Saturday	Sahyadri	Nila	12:30	1
	Saturday	Sahyadri	Nila	13:00	1
	Saturday	Sahyadri	Nila	13:30	1
	Saturday	Sahyadri	Nila	14:00	1
	Saturday	Sahyadri	Nila	14:30	1
	Saturday	Sahyadri	Nila	15:00	1
	Saturday	Sahyadri	Nila	15:30	1
	Saturday	Sahyadri	Nila	16:00	1
	Saturday	Sahyadri	Nila	16:30	1
	Saturday	Sahyadri	Nila	17:00	1
	Saturday	Sahyadri	Nila	17:30	1
	Saturday	Sahyadri	Nila	18:00	1
	Saturday	Sahyadri	Nila	18:00	1
	Saturday	Sahyadri	Nila	18:30	1
	Saturday	Sahyadri	Nila	19:00	1
	Saturday	Sahyadri	Nila	19:30	1
	Saturday	Sahyadri	Nila	20:15	1
	Saturday	Sahyadri	Nila	21:15	1
	Saturday	Sahyadri	Nila	22:15	1
	Saturday	Sahyadri	Nila	23:15	1
	Sunday	Nila	Sahyadri	8:45	1
	Sunday	Nila	Sahyadri	9:15	1
	Sunday	Nila	Sahyadri	10:00	1
	Sunday	Nila	Sahyadri	11:00	1
	Sunday	Nila	Sahyadri	12:00	1
	Sunday	Nila	Sahyadri	12:30	1
	Sunday	Nila	Sahyadri	13:15	1
	Sunday	Nila	Sahyadri	14:00	1
	Sunday	Nila	Sahyadri	15:00	1
	Sunday	Nila	Sahyadri	16:00	1
	Sunday	Nila	Sahyadri	17:00	1
	Sunday	Nila	Sahyadri	18:00	1
	Sunday	Nila	Sahyadri	18:30	1
	Sunday	Nila	Sahyadri	19:00	1
	Sunday	Nila	Sahyadri	19:30	1
	Sunday	Nila	Sahyadri	20:00	1
	Sunday	Nila	Sahyadri	20:30	1
	Sunday	Nila	Sahyadri	21:00	1
	Sunday	Nila	Sahyadri	22:00	1
	Sunday	Nila	Sahyadri	23:00	1
	Sunday	Nila	Sahyadri	0:00	1
	Sunday	Sahyadri	Nila	8:00	1
	Sunday	Sahyadri	Nila	8:30	1
	Sunday	Sahyadri	Nila	9:00	1
	Sunday	Sahyadri	Nila	9:30	1
	Sunday	Sahyadri	Nila	10:15	1
	Sunday	Sahyadri	Nila	11:15	1
	Sunday	Sahyadri	Nila	12:15	1
	Sunday	Sahyadri	Nila	12:45	1
	Sunday	Sahyadri	Nila	13:30	1
	Sunday	Sahyadri	Nila	14:15	1
	Sunday	Sahyadri	Nila	15:15	1
	Sunday	Sahyadri	Nila	16:15	1
	Sunday	Sahyadri	Nila	17:15	1
	Sunday	Sahyadri	Nila	18:00	1
	Sunday	Sahyadri	Nila	18:30	1
	Sunday	Sahyadri	Nila	19:00	1
	Sunday	Sahyadri	Nila	19:30	1
	Sunday	Sahyadri	Nila	20:15	1
	Sunday	Sahyadri	Nila	21:15	1
	Sunday	Sahyadri	Nila	22:15	1
	Sunday	Sahyadri	Nila	23:15	1
